raceId,driverId,stop,lap,time,duration,milliseconds
1111,847,7,67,17:20:51,22.379,22379
1112,857,2,41,16:23:21,31.799,31799
1113,4,2,44,21:20:59,52.708,52708
1114,815,4,14,15:14:59,30.651,30651
1115,855,3,52,21:24:48,28.815,28815
1116,844,1,23,14:43:10,23.963,23963
1117,4,2,34,14:53:42,20:29.837,1229837
1118,846,4,59,15:45:16,23.664,23664
1119,857,2,43,23:22:11,20.535,20535
1120,832,2,56,18:28:24,21.564,21564
1121,857,2,34,18:59:20,24.852,24852
1122,846,1,37,21:05:08,22.211,22211
1123,847,2,45,16:06:07,17.964,17964
1124,858,4,41,15:41:24,23.287,23287
1125,4,3,43,16:23:18,23.179,23179
1126,848,2,53,17:29:03,22.567,22567
1127,4,3,59,16:25:23,29.931,29931
1129,825,4,54,15:26:25,26.845,26845
